Title,Authors_with_affiliations,Conf,Year,Cited_by
Rule ensemble learning using hierarchical kernels in structured output spaces,"Nair, N., IITB-Monash Research Academy, Dept. of CSE, Monash University, Australia; Saha, A., Dept. of CSE, IIT Bombay, India; Ramakrishnan, G., Dept. of CSE, IIT Bombay, IITB-Monash Research Academy, India; Krishnaswamy, S., Institute for Infocomm Research (I2R), Singapore, Singapore, Faculty of IT, Monash University, IITB-Monash Research Academy, Australia",AAAI,2012,
Threats and trade-offs in resource critical crowdsourcing tasks over networks,"Nath, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560 012, India; Dayama, P., Global General Motors R and D - India Science Lab, India; Garg, D., IBM India Research Lab, India; Narahari, Y., Dept. of Computer Science and Automation, Indian Institute of Science, India; Zou, J., School of Engineering and Applied Sciences, Harvard University, United States",AAAI,2012,
Towards a cognitive model for human way finding behavior in regionalized environments,"Nayak, S., Department of Computer Science and Engineering, IIT Kanpur, India; Mishra, V., Department of Computer Science and Engineering, IIT Kanpur, India; Mukerjee, A., Department of Computer Science and Engineering, IIT Kanpur, India",AAAI,2011,
Reciprocal preference model for two player dilemma games,"Ahmed, M.A., International Institute of Information Technology, Center for Data Engineering, Hyderabad, India; Karlapalem, K., International Institute of Information Technology, Center for Data Engineering, Hyderabad, India",AAAI,2011,
M-unit Eigenant: An ant algorithm to find the M best solutions,"Shah, S., Dept. of Electrical Engg., IIT Delhi, Hauz Khas, New Delhi 110016, India; Jayadeva, Dept. of Electrical Engg., IIT Delhi, Hauz Khas, New Delhi 110016, India; Kothari, R., IBM India Research Lab., 4 Block C, Institutional Area, Vasant Kunj New Delhi - 110070, India; Chandra, S., Dept. of Mathematics, IIT Delhi, Hauz Khas, New Delhi 110016, India",AAAI,2011,
Design and analysis of value creation networks,"Kameshwaran, S., IBM Research, India; Mehta, S., IBM Research, India; Pandit, V., IBM Research, India",AAAI,2011,
A rich context model for knowledge-works,"Laha, A., C-KDIS, Infosys Technologies Ltd., Hyderabad, India",AAAI,2011,
"Sentiment extraction: Integrating statistical parsing, semantic analysis, and common sense reasoning","Shastri, L., Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs., Infosys Technologies Ltd., Bangalore, India; Parvathy, A.G., Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs., Infosys Technologies Ltd., Bangalore, India; Kumar, A., Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs., Infosys Technologies Ltd., Bangalore, India; Wesley, J., Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs., Infosys Technologies Ltd., Bangalore, India; Balakrishnan, R., Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs., Infosys Technologies Ltd., Bangalore, India",AAAI,2010,
PR + RQ â‰ˆ PQ: Transliteration mining using bridge language,"Khapra, M.M., Indian Institute of Technology Bombay, Powai, Mumbai 400076, India; Udupa, R., Microsof T Research India, Bangalore, India; Kumaran, A., Microsof T Research India, Bangalore, India; Bhattacharyya, P., Indian Institute of Technology Bombay, Powai, Mumbai 400076, India",AAAI,2010,
Position and perspective of privacy laws in India,"Brahmbhatt, B., Gujarat National Law University, Gandhinagar, Gujarat, India",AAAI,2010,
