Title,Authors_with_affiliations,Conf,Year,Cited_by
Simultaneously improving CSAT and profit in a retail banking organization,"Mehta, S., IBM Reseach - India, New Delhi, India; Nambiar, U., IBM Reseach - India, New Delhi, India; Batra, V., IBM Reseach - India, New Delhi, India; Negi, S., IBM Reseach - India, New Delhi, India; Deshpande, P., IBM Reseach - India, New Delhi, India; Praija, G., IBM Reseach - India, New Delhi, India",CIKM,2011,
Designing an ensemble classifier over subspace classifiers using iterative convergence routine,"Vinzamuri, B., International Institute of Information Technology, Centre for Data Engineering, Andhra Pradesh, India; Karlapalem, K., International Institute of Information Technology, Centre for Data Engineering, Andhra Pradesh, India",CIKM,2011,
Index tuning for query-log based on-line index maintenance,"Gurajada, S., Max-Planck-Institut fÃ¼r Informatik, SaarbrÃ¼cken, Germany; Sreenivasa Kumar, P., Indian Institute of Technology Madras, Chennai, India",CIKM,2011,
A diversity measure leveraging domain specific auxiliary information,"Bhamidipati, N., Yahoo Labs., Bangalore, India; Kota, N., Yahoo Labs., Bangalore, India",CIKM,2011,
Semi-supervised SVMs for classification with unknown class proportions and a small labeled dataset,"Selvaraj, S.K., Yahoo Labs., Santa Clara, CA, United States; Bhar, B., Indian Institute of Science, Bangalore, India; Sellamanickam, S., Yahoo Labs., Santa Clara, CA, United States; Shevade, S., Indian Institute of Science, Bangalore, India",CIKM,2011,
A weighted tag similarity measure based on a collaborative weight model,"Srinivas, G.R.J., Search and Information Extraction Lab., IIIT Hyderabad, India; Tandon, N., Max Planck Institute, Germany; Varma, V., Search and Information Extraction Lab., IIIT Hyderabad, India",CIKM,2010,
Clustering based approach to learning regular expressions over large alphabet for noisy unstructured text,"Babbar, R., Chennai Mathematical Institute, SIPCOT IT Park, Chennai, India; Singh, N., IBM India Software Labs, Embassy Golf Links Business Park, Bangalore, India",CIKM,2010,
Relevance-index size tradeoff in contextual advertising,"Gm, P.K., Yahoo Labs, Bangalore, India; Parsana, M., Yahoo Labs, Bangalore, India; Leela, K.P., Yahoo Labs, Bangalore, India; Garg, S., Yahoo Labs, Bangalore, India",CIKM,2010,
Massive structured data management solution,"Nambiar, U., IBM Research - India, New Delhi, India; Gupta, R., IBM Research - India, New Delhi, India; Gupta, H., IBM Research - India, New Delhi, India; Mohania, M., IBM Research - India, New Delhi, India",CIKM,2010,
Estimating accuracy for text classification tasks on large unlabeled data,"Chaturvedi, S., IBM Research India, New Delhi, India; Faruquie, T.A., IBM Research India, New Delhi, India; Subramaniam, L.V., IBM Research India, New Delhi, India; Mohania, M.K., IBM India Software Lab., New Delhi, India",CIKM,2010,
Efficiently querying archived data using hadoop,"Gupta, R., IBM Research, India; Gupta, H., IBM Research, India; Nambiar, U., IBM Research, India; Mohania, M., IBM Research, India",CIKM,2010,
Alignment of short length parallel corpora with an application to Web Search,"Ajmera, J., IBM India Research Lab., New Delhi, India; Koppula, H.S., Cornell University, Ithaca, NY, United States; Leela, K.P., Yahoo Labs, Bangalore, India; Mukherjee, S., Yahoo Labs, Bangalore, India; Parsana, M., Yahoo Labs, Bangalore, India",CIKM,2010,
Variant search and syntactic tree similarity based approach to retrieve matching questions for SMS queries,"Langer, A., Electronics and Computer Engineering Department, Indian Institute of Technology, Roorkee, India; Banga, R., Electronics and Computer Engineering Department, Indian Institute of Technology, Roorkee, India; Mittal, A., Computer Science Department, College of Engineering, Roorkee, India; Subramaniam, L.V., IBM India Research Lab., New Delhi, India",CIKM,2010,
Intelligent sales forecasting engine using genetic algorithms,"Vijayalakshmi, M., CSE Dept. IIT, Mumbai, India; Menezes, B., CSE Dept. IIT, Powai, Mumbai, India; Menon, R., Information Tech. Dept., VESIT, Mumbai, India; Divecha, A., Information Tech. Dept., VESIT, Mumbai, India; Ravindran, R., Information Tech. Dept., VESIT, Mumbai, India; Mehta, K., Information Tech. Dept., VESIT, Mumbai, India",CIKM,2010,
Interpretable and reconfigurable clustering of document datasets by deriving word-based rules,"Balachandran, V., Indian Institute of Technology, Madras, Chennai, India; Deepak, P., IBM Research - India, Bangalore, India; Khemani, D., Indian Institute of Technology, Madras, Chennai, India",CIKM,2009,
Network dynamics of scholarship: A social network analysis of digital library community,"Sharma, M., University of Mysore, Manasagangotri, Mysore, India; Urs, S.R., University of Mysore, Manasagangotri, Mysore, India",CIKM,2008,
Exploiting context to detect sensitive information in call center conversations,"Faruquie, T.A., IBM India Research Lab, Plot No 4, Institutional Area, Vasant Kunj, New Delhi, India; Negi, S., IBM India Research Lab, Plot No 4, Institutional Area, Vasant Kunj, New Delhi, India; Chalamalla, A., IBM India Research Lab, Plot No 4, Institutional Area, Vasant Kunj, New Delhi, India; Subramaniam, L.V., IBM India Research Lab, Plot No 4, Institutional Area, Vasant Kunj, New Delhi, India",CIKM,2008,
Issues in searching for indian language web content,"Pal, D., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India; Majumder, P., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India; Mitra, M., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India; Mitra, S., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India; Sen, A., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata, India",CIKM,2008,
Named entity transliteration for cross-language information retrieval using compressed word format mapping algorithm,"Janarthanam, S.C., School of Informatics, University of Edinburgh, Edinburgh, United Kingdom; Sethuramalingam, S., Search and Information Extraction Lab, International Institute of Information Technology, Hyderabad, AP, India; Nallasamy, U., Language Technologies Institute, Carnegie Mellon University, Pittsburgh, PA, United States",CIKM,2008,
Understanding the wikipedia phenomenon: A case for agent based modeling,"Ingawale, M., Management Info Systems Group, IIM Calcutta, India",CIKM,2008,
On quantifying changes in temporally evolving dataset,"Choudhary, R., Department of Computer Science and Engineering, Indian Institute of Technology, New Delhi, India; Mehta, S., IBM India Research Lab, New Delhi, India; Bagchi, A., Department of Computer Science and Engineering, Indian Institute of Technology, New Delhi, India",CIKM,2008,
Semi-automatic annotation and MPEG-7 authoring of dance videos,"Ramadoss, B., Department of Computer Applications, National Institute of Technology, Tiruchirappalli 620015, TN, India; Rajkumar, K., Department of Computer Applications, National Institute of Technology, Tiruchirappalli 620015, TN, India",CIKM,2006,
A structure-sensitive framework for text categorization,"Ramakrishnan, G., IBM IRL, New Delhi, India; Paranjpe, D.; Dom, B., Yahoo Inc., Sunnyvale, CA, United States",CIKM,2005,
OSQR: Overlapping clustering of query results,"Bamba, B., IBM India Research Lab., New Delhi, India, Georgia Institute of Technology, Atlanta, GA, United States; Roy, P., IBM India Research Lab., New Delhi, India; Mohania, M., IBM India Research Lab., New Delhi, India",CIKM,2005,
On semantic matching of multilingual attributes in relational systems,"Kumaran, A., Database Systems Lab, SERC/CSA, Indian Institute of Science, Bangalore, India; Haritsa, J.R., Database Systems Lab, SERC/CSA, Indian Institute of Science, Bangalore, India",CIKM,2004,
Analysis of thompson sampling for the multi-armed bandit problem,"Agrawal, S., Microsoft Research India, India; Goyal, N., Microsoft Research India, India",COLT,2012,4
Differentially private online learning,"Jain, P., Microsoft Research India, India; Kothari, P., University of Texas at Austin, United States; Thakurta, A., Pennsylvania State University, United States",COLT,2012,3
Efficient learning of simplices,"Anderson, J., Computer Science and Engineering, Ohio State University, United States; Goyal, N., Microsoft Research, India; Rademacher, L., Computer Science and Engineering, Ohio State University, United States",COLT,2013,
Information complexity in bandit subset selection,"Kaufmann, E., Institut Mines-Telecom, France, Telecom ParisTech, France; Kalyanakrishnan, S., Yahoo Labs Bangalore, India",COLT,2013,
Surrogate regret bounds for the area under the ROC curve via strongly proper losses,"Agarwal, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India",COLT,2013,
Learning convex bodies is hard,"Goyal, N., Microsoft Research India, India; Rademacher, L., Georgia Tech., United States",COLT,2009,
Sparse probability regression by label partitioning,"Chakrabartty, S., Ctr. for Lang. and Speech Processing, Johns Hopkins University, Baltimore, MD 21218, United States; Cauwenberghs, G., Ctr. for Lang. and Speech Processing, Johns Hopkins University, Baltimore, MD 21218, United States; Jayadeva, Department of Electrical Engineering, Indian Institute of Technology, Hauz Khas, New Delhi - 110058, India",COLT,2003,
Automated feature extraction for early detection of diabetic retinopathy in fundus images,"Ravishankar, S., Indian Institute of Technology Madras, University of Maryland College Park, University of Illinois at Urbana-Champaign, India; Jain, A., Indian Institute of Technology Madras, University of Maryland College Park, University of Illinois at Urbana-Champaign, India; Mittal, A., Indian Institute of Technology Madras, University of Maryland College Park, University of Illinois at Urbana-Champaign, India",CVPR,2009,55
Lie-algebraic averaging for globally consistent motion estimation,"Govindu, V.M., HIG-25, Simhapuri Layout, Visakhapatnam, AP 530047, India",CVPR,2004,48
A framework for feature selection for background subtraction,"Parag, T., Dept. of Computer Science, Rutgers University, Piscataway, NJ 08854, United States; Elgammal, A., Dept. of Computer Science, Rutgers University, Piscataway, NJ 08854, United States, Dept. of Computer Science and Automatic Control, University of Alexandria, Egypt; Mittal, A., Real-time Vision and Modeling Dept., Siemens Corporate Research, Princeton, NJ 08540, United States, Dept. of Computer Science and Engg, IIT Madras, Chennai, India",CVPR,2006,33
Robust order-based methods for feature description,"Gupta, R., Department of Computer Science and Engg., Indian Institute of Technology Madras, Chennai - 600036, India; Patil, H., Department of Computer Science and Engg., Indian Institute of Technology Madras, Chennai - 600036, India; Mittal, A., Department of Computer Science and Engg., Indian Institute of Technology Madras, Chennai - 600036, India",CVPR,2010,30
Top-down and bottom-up cues for scene text recognition,"Mishra, A., CVIT, IIIT Hyderabad, India; Alahari, K., INRIA - WILLOW, Ã‰cole Normale SupÃ©rieure, Paris, France; Jawahar, C.V., CVIT, IIIT Hyderabad, India",CVPR,2012,28
Biased normalized cuts,"Maji, S., University of California, Berkeley, United States; Vishnoi, N.K., Microsoft Research India, Bangalore, India; Malik, J., University of California, Berkeley, United States",CVPR,2011,25
An intensity-augmented ordinal measure for visual correspondence,"Mittal, A., Real Time Vision and Modeling, Siemens Corporate Research, Princeton, NJ 08540, United States, Department of Computer Science and Engg., Indian Institute of Technology Madras, Chennai- 600036, India; Ramesh, V., Real Time Vision and Modeling, Siemens Corporate Research, Princeton, NJ 08540, United States",CVPR,2006,23
Online domain adaptation of a pre-trained cascade of classifiers,"Jain, V., Yahoo Labs Bangalore, India; Learned-Miller, E., University of Massachusetts, Amherst, United States",CVPR,2011,21
Face recognition by fusion of local and global matching scores using DS theory: An evaluation with uni-classifier and multi-classifier paradigm,"Kisku, D.R., Dr. B. C. Engineering College, India; Tistarelli, M., University of Sassari, Alghero (SS), Italy; Sing, J.K., Jadavpur University, Kolkata, India; Gupta, P., I.I.T Kanpur, Kanpur, India",CVPR,2009,20
A tensor decomposition for geometric grouping and segmentation,"Govindu, V.M., HIG-25, Simhapuri Layout, Visakhapatnam, AP 530047, India",CVPR,2005,14
Cats and dogs,"Parkhi, O.M., Department of Engineering Science, University of Oxford, United Kingdom, Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India; Vedaldi, A., Department of Engineering Science, University of Oxford, United Kingdom; Zisserman, A., Department of Engineering Science, University of Oxford, United Kingdom; Jawahar, C.V., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India",CVPR,2012,13
Contextual restoration of severely degraded document images,"Banerjee, J., Center for Visual Information Technology, IIIT, Hyderabad - 500032, India; Namboodiri, A.M., Center for Visual Information Technology, IIIT, Hyderabad - 500032, India; Jawahar, C.V., Center for Visual Information Technology, IIIT, Hyderabad - 500032, India",CVPR,2009,13
Blocks that shout: Distinctive parts for scene classification,"Juneja, M., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India; Vedaldi, A., Department of Engineering Science, University of Oxford, United Kingdom; Jawahar, C.V., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India; Zisserman, A., Department of Engineering Science, University of Oxford, United Kingdom",CVPR,2013,11
Block and group regularized sparse modeling for dictionary learning,"Chi, Y.-T., University of Florida, Gainesville, FL, United States; Ali, M., University of Florida, Gainesville, FL, United States; Rajwade, A., Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar, India; Ho, J., University of Florida, Gainesville, FL, United States",CVPR,2013,6
Non-negative matrix factorization as a feature selection tool for maximum margin classifiers,"Das Gupta, M., GE Global Research, Bangalore, India; Xiao, J., Epson Research and Development Inc., San Jose, CA, United States",CVPR,2011,6
Effect of plastic surgery on face recognition: a preliminary study,"Singh, R., IIIT Delhi, India; Vatsa, M., IIIT Delhi, India; Noore, A., West Virginia University, Morgantown, United States",CVPR,2009,6
Learning hierarchical similarity metrics,"Verma, N., UC San Diego, United States; Mahajan, D., Yahoo Labs, Bangalore, India; Sellamanickam, S., Yahoo Labs, Bangalore, India; Nair, V., Yahoo Labs, Bangalore, India",CVPR,2012,5
Non-uniform motion deblurring for bilayer scenes,"Paramanand, C., Department of Electrical Engineering, Indian Institute of Technology Madras, India; Rajagopalan, A.N., Department of Electrical Engineering, Indian Institute of Technology Madras, India",CVPR,2013,4
CUBA cuts: Fast graph cuts on the GPU,"Vineet, V., Centre for Visual Information Technology, International Institute of Information Technology, Hyderabad, 500032, India; Narayanan, P.J., Centre for Visual Information Technology, International Institute of Information Technology, Hyderabad, 500032, India",CVPR,2008,4
Temporal segmentation of egocentric videos,"Poleg, Y., Hebrew University of Jerusalem, Jerusalem, Israel; Arora, C., Hebrew University of Jerusalem, Jerusalem, Israel, IIIT Delhi, India; Peleg, S., Hebrew University of Jerusalem, Jerusalem, Israel",CVPR,2014,2
Registration of camera captured documents under non-rigid deformation,"Edupuganti, V.G., Dept. of Computer Science, New Jersey Inst. of Technology, Newark, NJ, United States; Agarwal, V.A., Stanford University, Stanford, CA, United States; Kompalli, S., Hewlett-Packard Labs, Bangalore, India",CVPR,2011,2
"Towards fast, view-invariant human action recognition","Cherla, S., Siemens Corporate Technology, SISL, Bangalore, India; Kulkarni, K., Siemens Corporate Technology, SISL, Bangalore, India; Kale, A., Siemens Corporate Technology, SISL, Bangalore, India; Ramasubramanian, V., Siemens Corporate Technology, SISL, Bangalore, India",CVPR,2008,2
Learning multiple non-linear sub-spaces using K-RBMs,"Chandra, S., CVIT, IIIT Hyderabad, India; Kumar, S., Google, Hyderabad, India; Jawahar, C.V., CVIT, IIIT Hyderabad, India",CVPR,2013,1
Incremental on-line semantic indexing for image retrieval in dynamic databases,"Karthik, S., Center for Visual Information Technology, International Institute of Information Technology Hyderabad, Hyderabad-500032, India; Pulla, C., Center for Visual Information Technology, International Institute of Information Technology Hyderabad, Hyderabad-500032, India; Jawahar, C.V., Center for Visual Information Technology, International Institute of Information Technology Hyderabad, Hyderabad-500032, India",CVPR,2009,1
Recovery of relative depth from a single observation using an uncalibrated (real-aperture) camera,"Namboodiri, V.P., Department of Electrical Engineering, Indian Institute of Technology, Bombay Powai, Mumbai 400076, India; Chaudhuri, S., Department of Electrical Engineering, Indian Institute of Technology, Bombay Powai, Mumbai 400076, India",CVPR,2008,1
A novel quality measure for information hiding in images,"Navas, K.A., College of Engineering, Trivandrum, India; Aravind, M.L., College of Engineering, Trivandrum, India; Sasikumar, M., Marian Engineering College, Trivandrum, India",CVPR,2008,1
A novel approach to improve biometric recognition using rank level fusion,"Bhatnagar, J., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110 016, India; Kumar, A., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110 016, India; Saggar, N., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110 016, India",CVPR,2007,1
A cause and effect analysis of motion trajectories for modeling actions,"Narayan, S., Dept. of Electrical Engg., Indian Institute of Science, Bangalore, India; Ramakrishnan, K.R., Dept. of Electrical Engg., Indian Institute of Science, Bangalore, India",CVPR,2014,
Multi-label generic cuts: Optimal inference in multi-label multi-clique MRF-MAP problems,"Arora, C., Hebrew University of Jerusalem, Jerusalem, Israel, Indian Institute of Technology Delhi, New Delhi, India; Maheshwari, S.N., Indian Institute of Technology Delhi, New Delhi, India",CVPR,2014,
High quality photometric reconstruction using a depth camera,"Haque, S.M., Indian Institute of Science, Bangalore, India; Chatterjee, A., Indian Institute of Science, Bangalore, India; Govindu, V.M., Indian Institute of Science, Bangalore, India",CVPR,2014,
Spectral clustering with Jensen-type kernels and their multi-point extensions,"Ghoshdastidar, D., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Dukkipati, A., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Adsul, A.P., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Vijayan, A.S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India",CVPR,2014,
SeamSeg: Video object segmentation using patch seams,"Ramakanth, S.A., Video Analytics Lab, SERC, Indian Institute of Science, Bangalore, India; Babu, R.V., Video Analytics Lab, SERC, Indian Institute of Science, Bangalore, India",CVPR,2014,
Optimizing average precision using weakly supervised data,"Behl, A., IIIT Hyderabad, India; Jawahar, C.V., IIIT Hyderabad, India; Kumar, M.P., Ecole Centrale Paris, INRIA Saclay, United States",CVPR,2014,
Parsing world's skylines using shape-constrained MRFs,"Tonge, R., CVIT, IIIT Hyderabad, India; Maji, S., Toyota Technological Institute at Chicago, United States; Jawahar, C.V., CVIT, IIIT Hyderabad, India",CVPR,2014,
Fast approximate inference in higher order MRF-MAP labeling problems,"Arora, C., Hebrew University of Jerusalem, Jerusalem, Israel, Indian Institute of Technology Delhi, New Delhi, India; Banerjee, S., Indian Institute of Technology Delhi, New Delhi, India; Kalra, P., Indian Institute of Technology Delhi, New Delhi, India; Maheshwari, S.N., Indian Institute of Technology Delhi, New Delhi, India",CVPR,2014,
Relative parts: Distinctive parts for learning relative attributes,"Sandeep, R.N., Center for Visual Information Technology, IIIT, Hyderabad, India; Verma, Y., Center for Visual Information Technology, IIIT, Hyderabad, India; Jawahar, C.V., Center for Visual Information Technology, IIIT, Hyderabad, India",CVPR,2014,
Object classification with adaptable regions,"Bilen, H., ESAT-PSI-VISICS/iMinds, KU Leuven, Belgium; Pedersoli, M., ESAT-PSI-VISICS/iMinds, KU Leuven, Belgium; Namboodiri, V.P., Dept. of Comp. Sci. and Eng., IIT Kanpur, Kanpur, India; Tuytelaars, T., ESAT-PSI-VISICS/iMinds, KU Leuven, Belgium; Van Gool, L., ESAT-PSI-VISICS/iMinds, KU Leuven, Belgium",CVPR,2014,
Meta-tag propagation by co-training an ensemble classifier for improving image search relevance,"Sharma, A., Indian Institute of Technology, Roorkee, India, Microsoft Research, Redmond, United States; Hua, G., Microsoft Live Labs Research, One Microsoft Way, Redmond, WA, United States; Liu, Z., Microsoft Research, One Microsoft Way, Redmond, WA, United States; Zhang, Z., Microsoft Research, One Microsoft Way, Redmond, WA, United States",CVPR,2008,
Private content based image retrieval,"Shashank, J., International Institute of Information Technology, Hyderabad, India; Kowshik, P., International Institute of Information Technology, Hyderabad, India; Srinathan, K., International Institute of Information Technology, Hyderabad, India; Jawahar, C.V., International Institute of Information Technology, Hyderabad, India",CVPR,2008,
Projec ted texture for hand geometry based authentication,"Sharma, A., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India; Shobhit, N., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India; Namboodiri, A., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India",CVPR,2008,
Riemannian manifold optimisation for non-rigid structure from motion,"Shaji, A., Computer Science and Engineering Department, IIT, Bombay, 400076, India; Chandran, S., Computer Science and Engineering Department, IIT, Bombay, 400076, India",CVPR,2008,
Comparison and combination of iris matchers for reliable personal identification,"Kumar, A., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India; Passi, A., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India",CVPR,2008,
On stabilisation of parametric active contours,"Srikrishnan, V., Vision and Image Processing Lab., EE Dept., I.I.T Bombay, Mumbai, India; Chaudhuri, S., Vision and Image Processing Lab., EE Dept., I.I.T Bombay, Mumbai, India; Roy, S.D., Vision and Image Processing Lab., EE Dept., I.I.T Bombay, Mumbai, India; Å evÄoviÄ, D., Dept. of Applied Math, and Stats., Comenius University, Bratislava, Slovakia",CVPR,2007,
Human identification using gait and face,"Chellappa, R., Department of Electrical and Computer Engineering, Center for Automation Research, University of Maryland at College Park, College Park, MD 20740; Roy-Chowdhury, A.K., Department of Electrical Engineering, University of California Riverside, Riverside, CA 92521; Kale, A., Siemens Information Systems Ltd., Bangalore, India",CVPR,2007,
Improving iris identification using user quality and cohort information,"Passi, A., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110 016, India; Kumar, A., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110 016, India",CVPR,2007,
Probabilistic reverse annotation for large scale image retrieval,"Pramod Sankar, K., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India; Jawahar, C.V., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, India",CVPR,2007,
Biometric authentication using finger-back surface,"Ravikanth, Ch., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110 016, India; Kumar, A., Biometrics Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110 016, India",CVPR,2007,
Shock filters based on implicit cluster separation,"Namboodiri, V.P., Department of Electrical Engineering, Indian Institute of Technology, Bombay, Mumbai, 400076, India; Chaudhuri, S., Department of Electrical Engineering, Indian Institute of Technology, Bombay, Mumbai, 400076, India",CVPR,2005,
Latent dirichlet allocation and singular value decomposition based multi-document summarization,"Arora, R., Computer Science and Engineering, Indian Institute of Technology Madras, Chennai - 600 036, India; Ravindran, B., Computer Science and Engineering, Indian Institute of Technology Madras, Chennai - 600 036, India",ICDM,2008,15
Reliable detection of episodes in event sequences,"Gwadera, R., Purdue University, Department of Computer Sciences, West Lafayette, India; Atallah, M., Purdue University, Department of Computer Sciences, West Lafayette, India; Szpankowski, W., Purdue University, Department of Computer Sciences, West Lafayette, India",ICDM,2003,14
Comparative evaluation of anomaly detection techniques for sequence data,"Chandola, V., University of Minnesota, United States; Mithal, V., IIT Kanpur, India; Kumar, V., University of Minnesota, United States",ICDM,2008,12
A transaction-based neighbourhood-driven approach to quantifying interestingness of association rules,"Shekar, B., Quantitative Methods and Information Systems Area, Indian Institute of Management Bangalore, Bannerghatta Road, Bangalore - 560 076 Karnataka, India; Natarajan, R., Information Technology and Systems Group, Indian Institute of Management Lucknow, Prabandh Nagar, Lucknow-226 013 Uttar Pradesh, India",ICDM,2004,11
CloseMiner: Discovering frequent closed itemsets using frequent closed tidsets,"Singh, N.G., Department of Computer Science, Manipur University, Imphal-795003, Manipur, India; Singh, S.R., Department of Computer Science, Manipur University, Imphal-795003, Manipur, India; Mahanta, A.K., Department of Computer Science, Gauhati University, Guwahati-781014, Assam, India",ICDM,2005,10
Dynamic algorithm for graph clustering using minimum cut tree,"Saha, B., Indian Institute of Technology, Kanpur, India; Mitra, P., Indian Institute of Technology, Kharagpur, India",ICDM,2006,8
Semi-supervised clustering with metric learning using relative comparisons,"Kumar, N., IBM India Research Lab., Indian Institute of Technology, Block-1, New Delhi-110016, India; Kummamuru, K., IBM India Research Lab., Indian Institute of Technology, Block-1, New Delhi-110016, India; Paranjpe, D., IBM India Research Lab., Indian Institute of Technology, Block-1, New Delhi-110016, India",ICDM,2005,8
Viral Marketing for multiple products,"Datta, S., Bell Labs Research, Bangalore, India; Majumder, A., Bell Labs Research, Bangalore, India; Shrivastava, N., Bell Labs Research, Bangalore, India",ICDM,2010,7
Cross-guided clustering: Transfer of relevant supervision across domains for improved clustering,"Bhattacharya, I., IBM Research, India; Godbole, S., IBM Research, India; Joshi, S., IBM Research, India; Verma, A., IBM Research, India",ICDM,2009,6
A simple yet effective data clustering algorithm,"Vadapalli, S., Center for Data Engineering, IIIT, Hyderabad, India; Valluri, S.R., Center for Data Engineering, IIIT, Hyderabad, India; Karlapalem, K., Center for Data Engineering, IIIT, Hyderabad, India",ICDM,2006,6
Minimum enclosing spheres formulations for support vector ordinal regression,"Shevade, S.K., Computer Science and Automation, Indian Institute of Science, Bangalore-560 012, India; Chu, W., Center for Computational Learning Systems, Columbia University, New York, NY 10115, United States",ICDM,2006,6
Spatio-temporal energy based gait recognition,"Singh, S., Dept. of CSE, IIT Delhi, New Delhi, India; Biswas, K.K., Dept. of CSE, IIT Delhi, New Delhi, India",ICDM,2009,5
On learning asymmetric dissimilarity measures,"Kummamuru, K., IBM India Research Lab., New Delhi 110016, India; Krishnapuram, R., IBM India Research Lab., New Delhi 110016, India; Agrawal, R., IBM Almaden Research Center, San Jose, CA 95120, United States",ICDM,2005,4
Discovering excitatory networks from discrete event streams with applications to neuronal spike train analysis,"Patnaik, D., Department of Computer Science, Virginia Tech, VA 24061, United States; Laxman, S., Microsoft Research, Bangalore 560080, India; Ramakrishnan, N., Department of Computer Science, Virginia Tech, VA 24061, United States",ICDM,2009,3
Stream-close: Fast mining of Closed frequent itemsets in high speed data streams,"Ranganath, B.N., Indian Institute of Science, Stochastic Systems Lab., Bangalore, India; Murty, M.N., Indian Institute of Science, Stochastic Systems Lab., Bangalore, India",ICDM,2008,3
MARGIN: Maximal frequent subgraph mining,"Thomas, L.T., Center for Data Engineering, IIIT, Hyderabad, India; Valluri, S.R., Center for Data Engineering, IIIT, Hyderabad, India; Karlapalem, K., Center for Data Engineering, IIIT, Hyderabad, India",ICDM,2006,3
Cluster based core vector machine,"Asharaf, S., Computer Science and Automation, Indian Institute of Science, Bangalore-560012, India; Murty, M.N., Computer Science and Automation, Indian Institute of Science, Bangalore-560012, India; Shevade, S.K., Computer Science and Automation, Indian Institute of Science, Bangalore-560012, India",ICDM,2006,3
On trajectory representation for scientific features,"Mehta, S., India Research Labs, IBM, New Delhi, India; Parthasarathy, S., Computer Science and Engineering, Ohio State University, Columbus, OH, United States; Machiraju, R., Computer Science and Engineering, Ohio State University, Columbus, OH, United States",ICDM,2006,3
Local and global algorithms for learning dynamic Bayesian networks,"Vinh, N.X., Faculty of Information Technology, Monash University, Australia; Chetty, M., Faculty of Information Technology, Monash University, Australia; Coppel, R., Department of Microbiology, Monash University, Australia; Wangikar, P.P., Department of Chemical Engineering, Indian Institute of Technology Bombay, India",ICDM,2012,2
"Discriminative link prediction using local links, node features and community structure","De, A., IIT, Kharagpur, India; Ganguly, N., IIT, Kharagpur, India; Chakrabarti, S., IIT, Bombay, India",ICDM,2013,1
Most clusters can be retrieved with short disjunctive queries,"Deolalikar, V., HP-Autonomy Research, India",ICDM,2013,1
Dynamic Multi-Relational Chinese Restaurant Process for analyzing influences on users in social media,"Lakkaraju, H., Stanford University, United States; Bhattacharya, I., IBM Research India, India; Bhattacharyya, C., Indian Institute of Science, India",ICDM,2012,1
Learning Dirichlet Processes from partially observed groups,"Dubey, A., IBM India Research Lab., India; Bhattacharya, I., Indian Institute of Science, India; Das, M., Indian Institute of Science, India; Faruquie, T., IBM India Research Lab., India; Bhattacharyya, C., Indian Institute of Science, India",ICDM,2011,1
Conditional models for non-smooth ranking loss functions,"Dubey, A., IBM Research India, India; Machchhar, J.; Bhattacharyya, C.; Chakrabarti, S., IBM Research India, India",ICDM,2009,1
Automatically extracting dialog models from conversation transcripts,"Negi, S., IBM Research, India; Joshi, S., IBM Research, India; Chalamallay, A., University of Waterloo, Canada; Subramaniam, L.V., IBM Research, India",ICDM,2009,1
